folio,texto,fecha_presentacion,score_presentacion,agenda_presentacion_id,punto_presentacion_id,num_ramas_nivel1,via,expediente_id,punto_destino_id,tipo_evento_real,fecha_real_destino,fecha_evento_excel,status_destino,cierre_encontrado,fecha_cierre_real,fecha_aprobacion_excel,estado_excel,confianza
816,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
817,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
818,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
819,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
820,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
821,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
822,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
823,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
824,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
825,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
826,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
827,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
828,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
829,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
830,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
