id_iniciativa,ruta_iniciativa,ruta_decreto
163,storage/iniciativas/157-INIC-DEFENSORAS-PVEM.docx,
164,storage/iniciativas/158-INIC-BIODIVER-PVEM.docx,
165,storage/iniciativas/159-INIC-COD-ADM-PVEM.docx,
166,storage/iniciativas/160-INIC-MOVILIDAD-PVEM.docx,
167,storage/iniciativas/161-INIC-BIODIVERS-PVEM.docx,
168,storage/iniciativas/162-INIC-BIODIVERS-PVEM.docx,
170,storage/iniciativas/164-INIC-MOVILIDAD-PVEM.pdf,
171,storage/iniciativas/165-INIC-BIODIVERS-PVEM.pdf,
172,storage/iniciativas/166-INIC-BIODIV-PVEM.pdf,
173,storage/iniciativas/167-INIC-COD-BIODIV-CLAUDIA-PVEM.pdf,
174,storage/iniciativas/168-INIC-COD-ADM-PVEM.pdf,
175,storage/iniciativas/169-INIC-MEZCAL-KARLA-PRI.pdf,
176,storage/iniciativas/170-INIC-DIA-MEZCAL-KARLA-PRI.pdf,
177,storage/iniciativas/171-INIC-COD-ADM-QUIROZ-PRI.pdf,
178,storage/iniciativas/172-INIC-COD-PENAL-ISABEL-PRI.pdf,
179,storage/iniciativas/173-INIC-CONSTIT-KARLA-PRI.pdf,
180,storage/iniciativas/174-INIC-COD-PENAL-CARDENAS-PRI.pdf,
181,storage/iniciativas/175-INIC-SEGURIDAD-LAMAS-PAN.pdf,
182,storage/iniciativas/176-INIC-COORDINAC-DAVILA-PAN.pdf,
183,storage/iniciativas/177-INIC-LOPLEG-BRIAN-PAN.pdf,
184,storage/iniciativas/178-INIC-SEGURIDAD-INGRID-PAN.pdf,
185,storage/iniciativas/179-INIC-MUJERES-DAVILA-PAN.docx,
186,storage/iniciativas/180-INIC-DESAR-SOCIAL-CORTES-PAN.docx,
187,storage/iniciativas/181-INIC-CONSTITUC-ALONSO-PAN.docx,
188,storage/iniciativas/182-INIC-NIÑAS-INGRID-PAN.pdf,
189,storage/iniciativas/183-INIC-COD-PENAL-MOYA-PAN.pdf,
190,storage/iniciativas/184-INIC-JUSTICIA-ARRIAGA-PAN.pdf,
191,storage/iniciativas/185-INIC-COD-PEN-PMC.pdf,storage/decretos/DECRETO 89.pdf
192,storage/iniciativas/186-INIC-COD-ADM-PRD.pdf,
193,storage/iniciativas/187-INIC-SALUD-PRD.pdf,
194,storage/iniciativas/188-INIC-LOPLEG-PRD.pdf,
195,storage/iniciativas/189-INIC-COD-ADM-PRD.pdf,
196,storage/iniciativas/190-INIC-COD-PENAL-PRD.pdf,
